ID	Sent_1	Sent_2	Sent_3	Sent_4	Sent_5	Sent_6	Sent_7	Answer_1	Answer_2	Answer_3	Answer_4	Answer_5	Answer_6	Answer_7	Answer_7	Answer_8	Answer_9	Answer_label_1	Answer_label_2	Answer_label_3	Answer_label_4	Answer_label_5	Answer_label_6	Answer_label_7	Answer_label_8	Answer_label_9	Answer_value_1	Answer_value_2	Answer_value_3	Answer_value_4	Answer_value_5	Answer_value_6	Answer_value_7	Answer_value_8	Answer_value_9	Sent_template_1	Sent_template_2	Sent_template_3	Sent_template_4
31	An evil creature called Gnasty Gnorc scatters the planet with monsters.	The grease was splattered by the noodles.	Butter was spread all over the cookies by guests.	The towel was wrapped around his neck.	The rice cake was spread by the customers.	It was squirted with the eggs by the farmers.	The ground was sown with salt.	Guests use the rolled up package to spread honey all over bread.	Someone was splashed milk all over your counter.	The wizard scatters gems the galaxy.	You will splash with the coffee all over your counter.	Bob just sticks the stuff for sale.	Whoever spatters the poison under the windshield.	Irony strews the novelist in the characters.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounA4 PNounB4	NounBPass1 VerbPass PSubj1	NounBPass5 VerbPass PNounA1 PSubj5	NounBPass5 VerbPass PNounA1
32	Lewitt and Dubner promote a strategy to seed the atmosphere with carbon.	Salt was sown by you.	Plenty of historical backstory was strewed in the story by Flanagan.	Honey was spread all over the cookies.	The floor was spattered by whoever.	The dragon world was scattered with the creature by the orb.	The cooktop was splattered with the grease.	The artist smeared mustard all over the walls.	The technician was swabbed the soap over the bulbs.	Moses strung the chain the fence.	The students brushed with liquid over the carpet.	Water spurts the dust from the ceiling.	Customers have to squirt water under here.	The eggs squirt farmers in the sponge.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounA4 PNounB2	NounBPass1 VerbPass PSubj1	NounBPass4 VerbPass PNounA1 PSubj4	NounBPass3 VerbPass PNounA2
33	Katrina sprayed the sink with some of the paint.	The green liquid was spurted by it.	Wine was splashed all over the floor by you.	Moisture was smeared all over the room.	Words were smudged by the reporters.	The floor was splashed with water by Jack.	Something was brushed with it.	I sprayed some of the paint into the bathroom.	Scientists were seeded hydrogen into the soil.	The tire spatters dirt the windshield.	The peppers splatter with fine oil all over the stove.	The manifacturer just sticks the food for the day.	The customers use the rolled up package to spread the eggs under the cookies.	Some of the material sprayed the crew into the sink.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounA1 PNounB4	NounBPass3 VerbPass PSubj3	NounBPass2 VerbPass PNounA1 PSubj2	NounBPass2 VerbPass PNounA3
34	The author strews figures with sarcasm.	Regular air was pumped by me.	The seeds were sown on the earth by the Egyptians.	Brandy was drizzled over the filling.	The site was plastered by the band.	The windows were strung with the ribbon by the priest.	The wast was wrapped with bandages.	The author strews sarcasm in the characters.	The villagers were sown the vines on the land.	The waiter drizzle coffee filling.	The man smeared with the flour all over the floor.	Mary carefully swab the liquid for that specific item.	The researchers promote a strategy to seed the product under algae.	Whatever was on the wheel spatters It over the floor.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj4 verb NounA5 PNounB4	NounBPass1 VerbPass PSubj1	NounBPass3 VerbPass PNounA5 PSubj3	NounBPass4 VerbPass PNounA5
35	Guests use the rolled up package to spread the rice cake with the yummy almond butter.	Some of the material was sprayed by the crew.	The letters were hung on my wall by the artist.	The creatures were scattered all over the galaxy.	The screen was rubbed by users.	The hook was hung with it by me.	The meat was basted with butter.	Alex just sticks the OEM drive in the pipeline.	We were basted different types of marinades over the meat.	The hostess will splash water the kitchen.	The designers simply rub with the eraser on paper.	The locals spritz mustard from Dijon.	Flanagan strews plenty of historical backstory under characters.	Sarcasm strews the author in the story.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA2 PNounB3	NounBPass5 VerbPass PSubj5	NounBPass5 VerbPass PNounA3 PSubj5	NounBPass1 VerbPass PNounA5
36	This spurts the room with the dust.	It was brushed by me.	Heavier material was sewed onto the carpet by them.	The chain was strung over the fireplace.	The bacon was sprinkled by the waitress.	The paper was smudged with sarcasm by teachers.	Eggs were sprinkled with salt.	Moses strung silk over it.	Flanagan was strewed plenty of historical backstory in the book.	The customers use the rolled up package to spread the eggs bread.	The elves strung with these lights over the bridge.	I spritz beer from France.	It spatters dirt under the floor.	It wraps him around the body.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA5 PNounB1	NounBPass3 VerbPass PSubj3	NounBPass5 VerbPass PNounA3 PSubj5	NounBPass5 VerbPass PNounA5
37	Someone will hang the counter with flowers.	Butter was basted by people.	Hydrogen was seeded into bacteria by scientists.	Monsters were scattered all over the planet.	The film was strewed by the author.	Something was brushed with mascara by the bartender.	The pipes were pumped with steam.	The villagers spritz beer over noodles.	The scientists were swashed the liquid over the counter.	Sprinkle sugar soup.	Use the rolled up package to spread with the yummy almond butter all over the rice cake.	The workers don't smudge garbage of the floor.	The librarian brushed mascara under the carpet.	A little hot pepper sprinkle someone over the bacon.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounA2 PNounB3	NounBPass2 VerbPass PSubj2	NounBPass5 VerbPass PNounA2 PSubj5	NounBPass4 VerbPass PNounA2
38	The elves strung the windows with silk.	The heat was pumped by the driver.	The humor was strewed in the story by the director.	Some liquid was sprayed into the windshield.	Notes were rubbed by the designers.	The ground was sown with the vines by the villagers.	It was smudged with sarcasm.	The phyisician swab rubbing alcohol over the bulbs.	The rain was spurted the stench all over the place.	Whoever spatters venom the snow.	The director strews with irony in the characters.	The librarian brushed the powder of sulfur.	The peppers splatter the grease under the surface.	Packages can load visitors in the luggage.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounA5 PNounB1	NounBPass5 VerbPass PSubj5	NounBPass2 VerbPass PNounA5 PSubj2	NounBPass2 VerbPass PNounA4
39	The students brushed the mirror with mascara.	Artwork was plastered by the artist.	The chain was strung over the fence by the angels.	Some of the material was sprayed into the wall.	The audience was showered by Aristotle.	The soup was spritzed with the sauce by the locals.	The place was spurted with the smell.	The ladies drizzle Torani caramel sauce over your cup.	The angels were strung the chain over it.	Grandma will hang it the ceiling.	Mary carefully swab with the liquid over the bulbs.	Someone sprayed some of the material for the show.	The waiter drizzle Torani caramel sauce under filling.	The stench spurts the rain all over the room.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj4 verb NounA2 PNounB2	NounBPass1 VerbPass PSubj1	NounBPass2 VerbPass PNounA1 PSubj2	NounBPass5 VerbPass PNounA5
40	Contestants have to squirt the pot with the glue.	Some water was sprayed by Katrina.	The facts were showered onto the audience by the author.	The fluid was swashed over the pipes.	The suitcase was loaded by the buyer.	The porch was hung with paintings by grandma.	Storage was sticked with the OEM drive.	I clean the filter monthly and swash the fluid over the sink.	Chaos was scattered the dragons all over the planet.	The artist will will hang it canvas.	The artist plastered with the title on the vinyls.	The nuns sprinkle a little hot pepper from China.	The orb scatters the crystals under the planet.	Sarcasm strews the author in the film.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA2 PNounB3	NounBPass5 VerbPass PSubj5	NounBPass5 VerbPass PNounA3 PSubj5	NounBPass2 VerbPass PNounA2
41	Watson showers the reader with excellent information.	Satire was strewed by Homer.	Grease was smudged on the canvas by the workers.	The contents were sticked in the fridge.	The album cover was plastered by the artist.	They were smeared with mustard by the cat.	The box was wrapped with it.	The villagers sow the vines on the earth.	The artist was smeared ink all over the room.	Sprinkle the powder the bacon.	Customers have to squirt with butter in the pot.	Merlin scatters gems of the seas.	Visitors can can load the food under the cart.	Mascara brushed the bartender over the carpet.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj2 verb NounA3 PNounB4	NounBPass4 VerbPass PSubj4	NounBPass1 VerbPass PNounA1 PSubj1	NounBPass2 VerbPass PNounA2
42	Scientists clean the filter monthly and swash the sink with paint.	Cloth was sewed by the blacksmith.	It was hung on my wall by me.	Wires were strung over it.	The film was strewed by Homer.	The rice cake was spread with the butter by guests.	The potatoes were spritzed with vinegar.	The novelist strews irony in the film.	The narrator was showered the contents onto the reader.	The workers don't smudge sarcasm the words.	We like to baste with wine over potatoes.	He wraps bandages for wounds.	The engineers promote a strategy to seed sulfur under the earth.	Some of the material sprayed the crew into the wall.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj4 verb NounA4 PNounB4	NounBPass5 VerbPass PSubj5	NounBPass2 VerbPass PNounA3 PSubj2	NounBPass5 VerbPass PNounA3
43	I pumped the cooler with the gas.	Paint was swashed by archaeologists.	Cream was brushed over the carpet by the.	The dirt was smudged on pictures.	Cd was plastered by the producers.	Storage was sticked with the OEM drive by the other place.	Poles were sewed with cloth.	Watson showers the contents onto people.	The pancakes were splattered the sauce all over the grill.	The students brushed mascara the surface.	The machine smeared with mustard all over the walls.	I can can load the tools for experimentation.	Use the rolled up package to spread the eggs under the rice cake.	Some tank water swash me over the pipes.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA3 PNounB3	NounBPass4 VerbPass PSubj4	NounBPass3 VerbPass PNounA4 PSubj3	NounBPass2 VerbPass PNounA3
44	The Egyptians sow the land with the seeds.	Excellent information was showered by him.	Dirt was spurted all over the place by this.	Milk was splashed all over the floor.	It was strung by the elves.	The stove was splattered with the grease by the noodles.	Potatoes were basted with wine.	Archaeologists clean the filter monthly and swash the chemicals over the well.	The man was smeared the flour all over the room.	I pumped the gas the tire back up.	Someone will hang with the picture on the counter.	Lewitt and Dubner promote a strategy to seed the product of the company.	Contestants have to squirt the eggs under here.	Ink smeared the artist all over the room.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounA5 PNounB2	NounBPass2 VerbPass PSubj2	NounBPass5 VerbPass PNounA5 PSubj5	NounBPass1 VerbPass PNounA3
45	I can can load bags with the tools.	The pad was rubbed by the designers.	Weeds were sown on the earth by farmers.	Irony was strewed in the characters.	The album cover was plastered by the band.	The cooktop was splattered with the stuffing by the tomatoes.	Europe was scattered with monsters.	Scientists promote a strategy to seed hydrogen into bacteria.	The blacksmith was sewed cloth onto the straps.	I spritz low fat oil the potatoes.	The engineers swash with some tank water over the pipes.	They don't smudge grease from cans.	Katrina sprayed some of the material under the windshield.	Cloth sewed the blacksmith onto the boards.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounA5 PNounB5	NounBPass4 VerbPass PSubj4	NounBPass4 VerbPass PNounA2 PSubj4	NounBPass2 VerbPass PNounA5
46	Grandma will hang my wall with flowers.	The chemicals were swashed by the volunteers.	Low fat oil was spritzed over cheese by me.	It was pumped into the pipes.	The place was spurted by the breeze.	Bags were loaded with supplies by the customer.	The sink was sprayed with some water.	The waitress sprinkle the mustard over eggs.	Users were rubbed fingertips on paper.	The author strews plenty of historical backstory characters.	The cooks spritz with mustard over the potatoes.	The technician swab the liquid for that specific item.	The cooks spritz mustard under noodles.	The contents showers The narrator onto people.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA1 PNounB4	NounBPass5 VerbPass PSubj5	NounBPass4 VerbPass PNounA5 PSubj4	NounBPass3 VerbPass PNounA5
47	The artist plastered the vinyls with the title.	The stench was spurted by the rain.	The gas was pumped into the tire by the mechanic.	My finger was smeared all over the table.	The bathroom was sprayed by me.	It was rubbed with fingertips by users.	It was smeared with the chocolate.	The orb scatters the dragons all over earth.	Noah was pumped gasoline into the stove.	The chefs drizzle Torani caramel sauce the cake.	The manifacturer just sticks with the OEM drive in the fridge.	Visitors can can load packages of tools.	Locals baste wine under the vegetables.	The mustard sprinkle the cooks over the noodles.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA2 PNounB1	NounBPass5 VerbPass PSubj5	NounBPass3 VerbPass PNounA1 PSubj3	NounBPass3 VerbPass PNounA2
48	The fishermen spritz the fish with mustard.	The ribbon was strung by the priest.	The dust was smudged on the words by the editors.	Cream was brushed over the surface.	The reader was showered by the narrator.	The earth was sown with salt by you.	The vegetables were basted with the sauce.	The tomatoes splatter the grease all over the cooktop.	The workers were smudged grease on the words.	Aristotle showers the facts the audience.	The director strews with humor in the characters.	Logan wraps bandages for wounds.	Drizzle Torani caramel sauce under cream.	The food sticks the manifacturer in the pipeline.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA5 PNounB5	NounBPass5 VerbPass PSubj5	NounBPass5 VerbPass PNounA1 PSubj5	NounBPass4 VerbPass PNounA2
49	The bartender brushed yellow plastic cups with liquid.	Cloth was sewed by the blacksmith.	Curiosity was showered onto the students by Watson.	Honey was spread all over the rice cake.	Notes were rubbed by the authors.	The wall was sprayed with some water by Katrina.	The fence was strung with the chain.	The tire spatters the mud over the snow.	Claire was pumped steam into the cooler.	Visitors can can load packages the cart.	Christian wraps with it around the perimeter.	Aristotle showers curiosity from the world.	This spurts the green liquid under the room.	The eggs squirt farmers in here.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA3 PNounB2	NounBPass5 VerbPass PSubj5	NounBPass3 VerbPass PNounA4 PSubj3	NounBPass4 VerbPass PNounA4
50	The narrator showers the reader with curiosity.	Hydrogen was seeded by scientists.	The pen was rubbed on the writing marks by the authors.	Moisture was smeared all over the floor.	The bed was brushed by the.	The roof was sewed with heavier material by them.	The earth was sown with the seeds.	The inspector swab the oil over the bottle.	Locals were basted wine over it.	The machine smeared mustard the paper.	The manifacturer just sticks with the food in the truck.	Homer strews the humor of the movie.	Mary carefully swab the soap under the bulbs.	Clothes can load me in the box.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj4 verb NounA4 PNounB1	NounBPass5 VerbPass PSubj5	NounBPass2 VerbPass PNounA2 PSubj2	NounBPass2 VerbPass PNounA1
51	The phyisician swab the tray with the liquid.	The cheese was basted by the farmers.	The grease was splattered all over the stove by the noodles.	The product was seeded into algae.	The wall was sprayed by the crew.	The atmosphere was seeded with helium by the engineers.	The center was sticked with the food.	Aristotle showers enthusiasm onto the audience.	The dog was spattered the poison over the windshield.	The cooks sprinkle the mustard the bacon.	Watson showers with excellent information onto the reader.	The phyisician swab acid from the store.	The operator sticks the food under the fridge.	The image plastered the producers on the vinyls.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounA1 PNounB5	NounBPass4 VerbPass PSubj4	NounBPass1 VerbPass PNounA5 PSubj1	NounBPass5 VerbPass PNounA1
52	The volunteers swash the counter with the fluid.	The sauce was basted by the monks.	My finger was smeared all over the walls by my child.	Butter was basted over it.	Bacteria were seeded by Lewitt and Dubner.	The cart was loaded with clothes by me.	The film was strewed with satire.	Some use the rolled up package to spread honey all over the dessert.	You were splashed wine all over the floor.	I will hang the picture the counter.	The tomatoes splatter with fine oil all over the surface.	Grandma will hang paintings of saints.	Homer strews plenty of historical backstory under the story.	Bandages wraps Logan around his neck.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounA4 PNounB1	NounBPass1 VerbPass PSubj1	NounBPass5 VerbPass PNounA4 PSubj5	NounBPass5 VerbPass PNounA2
53	The driver pumped the tire back up with heat.	The pen was rubbed by the authors.	The powder was smeared all over the floor by the machine.	The mustard was sprinkled over the beans.	Everything was spurted by this.	The porch was hung with posters by the artist.	The box was wrapped with it.	The machine smeared ink all over the paper.	The band was plastered the title on the site.	Teachers don't smudge suspicion the canvas.	The mechanic pumped with heat into the engine.	We like to baste wine from France.	Scientists clean the filter monthly and swash some tank water under the well.	Acid swab Mary over the tissues.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA4 PNounB2	NounBPass3 VerbPass PSubj3	NounBPass1 VerbPass PNounA1 PSubj1	NounBPass2 VerbPass PNounA2
54	Teachers don't smudge pictures with blotches of ink.	The pen was rubbed by the authors.	The dragons were scattered all over the dragon world by chaos.	Paint was swashed over the sink.	The mug was swabbed by the technician.	The story was strewed with sarcasm by the author.	The center was sticked with the food.	The machine smeared mustard all over the floor.	The reporters were smudged garbage on the paper.	The waitress brushed the powder the glass.	Archaeologists clean the filter monthly and swash with the chemicals over the pipes.	Drizzle the syrup of apples.	The librarian brushed the ink under the glass.	The sauce spritz the locals the soup.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj2 verb NounA5 PNounB5	NounBPass4 VerbPass PSubj4	NounBPass5 VerbPass PNounA3 PSubj5	NounBPass1 VerbPass PNounA4
55	Homer strews characters with plenty of historical backstory.	Water was splattered by the peppers.	Butter was basted over the vegetables by people.	Flowers were hung on the ceiling.	The screen was rubbed by you.	The snow was spattered with the mud by the tire.	The bed was brushed with the ink.	You will splash the coffee all over the kitchen.	I was strung these lights over it.	The artist will will hang the picture canvas.	The students brushed with mascara over the surface.	The crew sprayed some water from rivers.	Watson showers the facts under people.	Low fat oil spritz me the soup.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounA2 PNounB2	NounBPass1 VerbPass PSubj1	NounBPass2 VerbPass PNounA4 PSubj2	NounBPass3 VerbPass PNounA3
56	Water spurts the place with the smell.	Clothes were loaded by me.	Honey was spread all over the dessert by the students.	Saliva was smeared all over the walls.	It was strung by the priest.	The planet was scattered with the creature by the orb.	They were smeared with the flour.	The peppers splatter fine oil all over the grill.	Burgers were splattered fine oil all over the grill.	I strung wires it.	Scientists promote a strategy to seed with helium into bacteria.	It spatters the poison for rats.	The inspector swab the soap under the tray.	Sarcasm strews the author in the story.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj4 verb NounA4 PNounB5	NounBPass4 VerbPass PSubj4	NounBPass3 VerbPass PNounA2 PSubj3	NounBPass3 VerbPass PNounA2
57	The workers don't smudge the pages with suspiscion.	The stuffing was splattered by the tomatoes.	The liquid was swashed over the pipes by scientists.	The vines were sown on the ground.	The place was spurted by this.	Vinyl was plastered with artwork by the artist.	Cream was drizzled with brandy.	Jack will splash the juice all over the place.	The archaeologist was swashed paint over the biomedia.	He wraps rope the body.	I carefully swab with the soap over the tissues.	The students brushed the powder of sulfur.	The mechanic pumped the gas under the stove.	Beer spritz the villagers over the potatoes.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA2 PNounB5	NounBPass1 VerbPass PSubj1	NounBPass3 VerbPass PNounA5 PSubj3	NounBPass1 VerbPass PNounA5
58	The machine smeared the room with ink.	Salt was sprinkled by the nuns.	Some liquid was sprayed into the bathroom by someone.	The towel was wrapped around the waist.	People were showered by the author.	Canvas was hung with the picture by the photographer.	The surface was splattered with fine oil.	I will hang flowers on the ceiling.	I was spritzed low fat oil over the fish.	I clean the filter monthly and swash the chemicals the well.	Mary carefully swab with acid over the bottle.	The Egyptians sow salt from sea water.	I carefully swab the liquid under the mug.	Excellent information showers him onto the reader.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj2 verb NounA4 PNounB3	NounBPass5 VerbPass PSubj5	NounBPass3 VerbPass PNounA5 PSubj3	NounBPass3 VerbPass PNounA3
59	Grandma will hang the counter with the picture.	The picture was hung by the photographer.	The green liquid was spurted all over the room by it.	Butter was spread all over bread.	The fridge was sticked by the operator.	The earth was sown with the vines by the villagers.	The table was splashed with wine.	I pumped steam into the engine.	The engineers were seeded helium into the atmosphere.	The customer can can load clothes the suitcase.	He wraps with the chain around the perimeter.	Whoever spatters the poison for rats.	The workers don't smudge sarcasm under the pages.	The crystals scatters the wizard all over europe.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounA5 PNounB2	NounBPass2 VerbPass PSubj2	NounBPass5 VerbPass PNounA1 PSubj5	NounBPass3 VerbPass PNounA5
60	Guests use the rolled up package to spread the pastry with the yummy almond butter.	A big label was plastered by the record company.	Honey was spread all over the cookies by the students.	Butter was basted over potatoes.	His neck was wrapped by Logan.	They were showered with enthusiasm by Aristotle.	The tissues were swabbed with the oil.	The quartet plastered a big label on the vinyls.	The developers were seeded the product into the earth.	The orb scatters the dragons the galaxy.	An evil creature called Gnasty Gnorc scatters with the crystals all over the galaxy.	The man smeared the chocolate from Switzerland.	The elves strung these lights under the windows.	Brandy drizzle the chefs over the cream.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA3 PNounB5	NounBPass2 VerbPass PSubj2	NounBPass5 VerbPass PNounA2 PSubj5	NounBPass3 VerbPass PNounA3
61	Whoever spatters the pavement with venom.	These lights were strung by me.	The leather was sewed onto the straps by the soldiers.	The egg was squirted in the pot.	It was sown by farmers.	The dirt was smeared with paint by my child.	The pages were smudged with blotches of ink.	Visitors can can load clothes in the luggage.	The wizard was scattered the crystals all over the planet.	Aristotle showers excellent information the reader.	Homer strews with sarcasm in the story.	This spurts dirt with grass.	The volunteers swash some tank water under the counter.	Carbon seed the researchers into the earth.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounA2 PNounB1	NounBPass1 VerbPass PSubj1	NounBPass3 VerbPass PNounA1 PSubj3	NounBPass4 VerbPass PNounA5
62	We like to baste it with the vinegar.	Logos were plastered by the quartet.	The soap was swabbed over the tray by the technician.	The letters were hung on the counter.	Canvas was sewed by the blacksmith.	The ground was sown with salt by you.	The potatoes were spritzed with vinegar.	The artist smeared ink all over the floor.	They were smudged blotches of ink on the paper.	The waitress sprinkle the mustard the noodles.	The mechanic pumped with heat into the stove.	The elves strung the chain for snow.	Reporters smudge suspicion under the canvas.	Honey spread the students all over the rice cake.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA2 PNounB4	NounBPass1 VerbPass PSubj1	NounBPass2 VerbPass PNounA4 PSubj2	NounBPass2 VerbPass PNounA4
