	np-s vp-s	np-s pp1-s vp-s	np-s pp1-p vp-s	np-s pp1-s pp2-s vp-s	np-s pp1-p pp2-s vp-s	np-s pp1-s pp2-p vp-s	np-s pp1-p pp2-p vp-s	np-p vp-p	np-p pp1-s vp-p	np-p pp1-p vp-p	np-p pp1-s pp2-s vp-p	np-p pp1-p pp2-s vp-p	np-p pp1-s pp2-p vp-p	np-p pp1-p pp2-p vp-p	np-s vp-p	np-s pp1-s vp-p	np-s pp1-p vp-p	np-s pp1-s pp2-s vp-p	np-s pp1-p pp2-s vp-p	np-s pp1-s pp2-p vp-p	np-s pp1-p pp2-p vp-p	np-p vp-s	np-p pp1-s vp-s	np-p pp1-p vp-s	np-p pp1-s pp2-s vp-s	np-p pp1-p pp2-s vp-s	np-p pp1-s pp2-p vp-s	np-p pp1-p pp2-p vp-s
20	L' architecte a perdu les plans .	L' architecte du château a perdu les plans .	L' architecte des châteaux a perdu les plans .	L' architecte du château du millionnaire a perdu les plans .	L' architecte des châteaux du millionnaire a perdu les plans .	L' architecte du château des millionnaires a perdu les plans .	L' architecte des châteaux des millionnaires a perdu les plans .	Les architectes ont perdu les plans .	Les architectes du château ont perdu les plans .	Les architectes des châteaux ont perdu les plans .	Les architectes du château du millionnaire ont perdu les plans .	Les architectes des châteaux du millionnaire ont perdu les plans .	Les architectes du château des millionnaires ont perdu les plans .	Les architectes des châteaux des millionnaires ont perdu les plans .	L' architecte ont perdu les plans .	L' architecte du château ont perdu les plans .	L' architecte des châteaux ont perdu les plans .	L' architecte du château du millionnaire ont perdu les plans .	L' architecte des châteaux du millionnaire ont perdu les plans .	L' architecte du château des millionnaires ont perdu les plans .	L' architecte des châteaux des millionnaires ont perdu les plans .	Les architectes a perdu les plans .	Les architectes du château a perdu les plans .	Les architectes des châteaux a perdu les plans .	Les architectes du château du millionnaire a perdu les plans .	Les architectes des châteaux du millionnaire a perdu les plans .	Les architectes du château des millionnaires a perdu les plans .	Les architectes des châteaux des millionnaires a perdu les plans .
21	La victime a porté plainte .	La victime du mensonge a porté plainte .	La victime des mensonges a porté plainte .	La victime du mensonge du policier a porté plainte .	La victime des mensonges du policier a porté plainte .	La victime du mensonge des policiers a porté plainte .	La victime des mensonges des policiers a porté plainte .	Les victimes ont porté plainte .	Les victimes du mensonge ont porté plainte .	Les victimes des mensonges ont porté plainte .	Les victimes du mensonge du policier ont porté plainte .	Les victimes des mensonges du policier ont porté plainte .	Les victimes du mensonge des policiers ont porté plainte .	Les victimes des mensonges des policiers ont porté plainte .	La victime ont porté plainte .	La victime du mensonge ont porté plainte .	La victime des mensonges ont porté plainte .	La victime du mensonge du policier ont porté plainte .	La victime des mensonges du policier ont porté plainte .	La victime du mensonge des policiers ont porté plainte .	La victime des mensonges des policiers ont porté plainte .	Les victimes a porté plainte .	Les victimes du mensonge a porté plainte .	Les victimes des mensonges a porté plainte .	Les victimes du mensonge du policier a porté plainte .	Les victimes des mensonges du policier a porté plainte .	Les victimes du mensonge des policiers a porté plainte .	Les victimes des mensonges des policiers a porté plainte .
22	Le voleur a fait une embardée .	Le voleur de la voiture a fait une embardée .	Le voleur des voitures a fait une embardée .	Le voleur de la voiture du garagiste a fait une embardée .	Le voleur des voitures du garagiste a fait une embardée .	Le voleur de la voiture des garagistes a fait une embardée .	Le voleur des voitures des garagistes a fait une embardée .	Les voleurs ont fait une embardée .	Les voleurs de la voiture ont fait une embardée .	Les voleurs des voitures ont fait une embardée .	Les voleurs de la voiture du garagiste ont fait une embardée .	Les voleurs des voitures du garagiste ont fait une embardée .	Les voleurs de la voiture des garagistes ont fait une embardée .	Les voleurs des voitures des garagistes ont fait une embardée .	Le voleur ont fait une embardée .	Le voleur de la voiture ont fait une embardée .	Le voleur des voitures ont fait une embardée .	Le voleur de la voiture du garagiste ont fait une embardée .	Le voleur des voitures du garagiste ont fait une embardée .	Le voleur de la voiture des garagistes ont fait une embardée .	Le voleur des voitures des garagistes ont fait une embardée .	Les voleurs a fait une embardée .	Les voleurs de la voiture a fait une embardée .	Les voleurs des voitures a fait une embardée .	Les voleurs de la voiture du garagiste a fait une embardée .	Les voleurs des voitures du garagiste a fait une embardée .	Les voleurs de la voiture des garagistes a fait une embardée .	Les voleurs des voitures des garagistes a fait une embardée .
23	Le responsable va démissionner .	Le responsable du droit va démissionner .	Le responsable des droits va démissionner .	Le responsable du droit de l' immigré va démissionner .	Le responsable des droits de l' immigré va démissionner .	Le responsable du droit des immigrés va démissionner .	Le responsable des droits des immigrés va démissionner .	Les responsables vont démissionner .	Les responsables du droit vont démissionner .	Les responsables des droits vont démissionner .	Les responsables du droit de l' immigré vont démissionner .	Les responsables des droits de l' immigré vont démissionner .	Les responsables du droit des immigrés vont démissionner .	Les responsables des droits des immigrés vont démissionner .	Le responsable vont démissionner .	Le responsable du droit vont démissionner .	Le responsable des droits vont démissionner .	Le responsable du droit de l' immigré vont démissionner .	Le responsable des droits de l' immigré vont démissionner .	Le responsable du droit des immigrés vont démissionner .	Le responsable des droits des immigrés vont démissionner .	Les responsables va démissionner .	Les responsables du droit va démissionner .	Les responsables des droits va démissionner .	Les responsables du droit de l' immigré va démissionner .	Les responsables des droits de l' immigré va démissionner .	Les responsables du droit des immigrés va démissionner .	Les responsables des droits des immigrés va démissionner .
24	Le gamin pleure .	Le gamin du clochard pleure .	Le gamin des clochards pleure .	Le gamin du clochard près de la poubelle pleure .	Le gamin des clochards près de la poubelle pleure .	Le gamin du clochard près des poubelles pleure .	Le gamin des clochards près des poubelles pleure .	Les gamins pleurent .	Les gamins du clochard pleurent .	Les gamins des clochards pleurent .	Les gamins du clochard près de la poubelle pleurent .	Les gamins des clochards près de la poubelle pleurent .	Les gamins du clochard près des poubelles pleurent .	Les gamins des clochards près des poubelles pleurent .	Le gamin pleurent .	Le gamin du clochard pleurent .	Le gamin des clochards pleurent .	Le gamin du clochard près de la poubelle pleurent .	Le gamin des clochards près de la poubelle pleurent .	Le gamin du clochard près des poubelles pleurent .	Le gamin des clochards près des poubelles pleurent .	Les gamins pleure .	Les gamins du clochard pleure .	Les gamins des clochards pleure .	Les gamins du clochard près de la poubelle pleure .	Les gamins des clochards près de la poubelle pleure .	Les gamins du clochard près des poubelles pleure .	Les gamins des clochards près des poubelles pleure .
25	L' avocat va revenir .	L' avocat de l' assassin va revenir .	L' avocat des assassins va revenir .	L' avocat de l' assassin du village va revenir .	L' avocat des assassins du village va revenir .	L' avocat de l' assassin des villages va revenir .	L' avocat des assassins des villages va revenir .	Les avocats vont revenir .	Les avocats de l' assassin vont revenir .	Les avocats des assassins vont revenir .	Les avocats de l' assassin du village vont revenir .	Les avocats des assassins du village vont revenir .	Les avocats de l' assassin des villages vont revenir .	Les avocats des assassins des villages vont revenir .	L' avocat vont revenir .	L' avocat de l' assassin vont revenir .	L' avocat des assassins vont revenir .	L' avocat de l' assassin du village vont revenir .	L' avocat des assassins du village vont revenir .	L' avocat de l' assassin des villages vont revenir .	L' avocat des assassins des villages vont revenir .	Les avocats va revenir .	Les avocats de l' assassin va revenir .	Les avocats des assassins va revenir .	Les avocats de l' assassin du village va revenir .	Les avocats des assassins du village va revenir .	Les avocats de l' assassin des villages va revenir .	Les avocats des assassins des villages va revenir .
26	Le cochon se vautrait dans la mare .	Le cochon du laboureur se vautrait dans la mare .	Le cochon des laboureurs se vautrait dans la mare .	Le cochon du laboureur du champs se vautrait dans la mare .	Le cochon des laboureurs du champs se vautrait dans la mare .	Le cochon du laboureur des champs se vautrait dans la mare .	Le cochon des laboureurs des champs se vautrait dans la mare .	Les cochons se vautraient dans la mare .	Les cochons du laboureur se vautraient dans la mare .	Les cochons des laboureurs se vautraient dans la mare .	Les cochons du laboureur du champs se vautraient dans la mare .	Les cochons des laboureurs du champs se vautraient dans la mare .	Les cochons du laboureur des champs se vautraient dans la mare .	Les cochons des laboureurs des champs se vautraient dans la mare .	Le cochon se vautraient dans la mare .	Le cochon du laboureur se vautraient dans la mare .	Le cochon des laboureurs se vautraient dans la mare .	Le cochon du laboureur du champs se vautraient dans la mare .	Le cochon des laboureurs du champs se vautraient dans la mare .	Le cochon du laboureur des champs se vautraient dans la mare .	Le cochon des laboureurs des champs se vautraient dans la mare .	Les cochons se vautrait dans la mare .	Les cochons du laboureur se vautrait dans la mare .	Les cochons des laboureurs se vautrait dans la mare .	Les cochons du laboureur du champs se vautrait dans la mare .	Les cochons des laboureurs du champs se vautrait dans la mare .	Les cochons du laboureur des champs se vautrait dans la mare .	Les cochons des laboureurs des champs se vautrait dans la mare .
27	La copine dormait sur la plage .	La copine du propriétaire dormait sur la plage .	La copine des propriétaires dormait sur la plage .	La copine du propriétaire de la villa dormait sur la plage .	La copine des propriétaires de la villa dormait sur la plage .	La copine du propriétaire des villas dormait sur la plage .	La copine des propriétaires des villas dormait sur la plage .	Les copines dormaient sur la plage .	Les copines du propriétaire dormaient sur la plage .	Les copines des propriétaires dormaient sur la plage .	Les copines du propriétaire de la villa dormaient sur la plage .	Les copines des propriétaires de la villa dormaient sur la plage .	Les copines du propriétaire des villas dormaient sur la plage .	Les copines des propriétaires des villas dormaient sur la plage .	La copine dormaient sur la plage .	La copine du propriétaire dormaient sur la plage .	La copine des propriétaires dormaient sur la plage .	La copine du propriétaire de la villa dormaient sur la plage .	La copine des propriétaires de la villa dormaient sur la plage .	La copine du propriétaire des villas dormaient sur la plage .	La copine des propriétaires des villas dormaient sur la plage .	Les copines dormait sur la plage .	Les copines du propriétaire dormait sur la plage .	Les copines des propriétaires dormait sur la plage .	Les copines du propriétaire de la villa dormait sur la plage .	Les copines des propriétaires de la villa dormait sur la plage .	Les copines du propriétaire des villas dormait sur la plage .	Les copines des propriétaires des villas dormait sur la plage .
28	L' accompagnatrice jouait merveilleusement .	L' accompagnatrice du musicien jouait merveilleusement .	L' accompagnatrice des musiciens jouait merveilleusement .	L' accompagnatrice du musicien de la rue jouait merveilleusement .	L' accompagnatrice des musiciens de la rue jouait merveilleusement .	L' accompagnatrice du musicien des rues jouait merveilleusement .	L' accompagnatrice des musiciens des rues jouait merveilleusement .	Les accompagnatrices jouaient merveilleusement .	Les accompagnatrices du musicien jouaient merveilleusement .	Les accompagnatrices des musiciens jouaient merveilleusement .	Les accompagnatrices du musicien de la rue jouaient merveilleusement .	Les accompagnatrices des musiciens de la rue jouaient merveilleusement .	Les accompagnatrices du musicien des rues jouaient merveilleusement .	Les accompagnatrices des musiciens des rues jouaient merveilleusement .	L' accompagnatrice jouaient merveilleusement .	L' accompagnatrice du musicien jouaient merveilleusement .	L' accompagnatrice des musiciens jouaient merveilleusement .	L' accompagnatrice du musicien de la rue jouaient merveilleusement .	L' accompagnatrice des musiciens de la rue jouaient merveilleusement .	L' accompagnatrice du musicien des rues jouaient merveilleusement .	L' accompagnatrice des musiciens des rues jouaient merveilleusement .	Les accompagnatrices jouait merveilleusement .	Les accompagnatrices du musicien jouait merveilleusement .	Les accompagnatrices des musiciens jouait merveilleusement .	Les accompagnatrices du musicien de la rue jouait merveilleusement .	Les accompagnatrices des musiciens de la rue jouait merveilleusement .	Les accompagnatrices du musicien des rues jouait merveilleusement .	Les accompagnatrices des musiciens des rues jouait merveilleusement .
29	Le professeur ressemble à une star .	Le professeur de mon cousin ressemble à une star .	Le professeur de mes cousins ressemble à une star .	Le professeur de mon cousin sur la photo ressemble à une star .	Le professeur de mes cousins sur la photo ressemble à une star .	Le professeur de mon cousin sur les photos ressemble à une star .	Le professeur de mes cousins sur les photos ressemble à une star .	Les professeurs ressemblent à une star .	Les professeurs de mon cousin ressemblent à une star .	Les professeurs de mes cousins ressemblent à une star .	Les professeurs de mon cousin sur la photo ressemblent à une star .	Les professeurs de mes cousins sur la photo ressemblent à une star .	Les professeurs de mon cousin sur les photos ressemblent à une star .	Les professeurs de mes cousins sur les photos ressemblent à une star .	Le professeur ressemblent à une star .	Le professeur de mon cousin ressemblent à une star .	Le professeur de mes cousins ressemblent à une star .	Le professeur de mon cousin sur la photo ressemblent à une star .	Le professeur de mes cousins sur la photo ressemblent à une star .	Le professeur de mon cousin sur les photos ressemblent à une star .	Le professeur de mes cousins sur les photos ressemblent à une star .	Les professeurs ressemble à une star .	Les professeurs de mon cousin ressemble à une star .	Les professeurs de mes cousins ressemble à une star .	Les professeurs de mon cousin sur la photo ressemble à une star .	Les professeurs de mes cousins sur la photo ressemble à une star .	Les professeurs de mon cousin sur les photos ressemble à une star .	Les professeurs de mes cousins sur les photos ressemble à une star .
30	L' entraîneur va recevoir une grosse récompense .	L' entraîneur du vainqueur va recevoir une grosse récompense .	L' entraîneur des vainqueurs va recevoir une grosse récompense .	L' entraîneur du vainqueur du match va recevoir une grosse récompense .	L' entraîneur des vainqueurs du match va recevoir une grosse récompense .	L' entraîneur du vainqueur des matchs va recevoir une grosse récompense .	L' entraîneur des vainqueurs des matchs va recevoir une grosse récompense .	Les entraîneurs vont recevoir une grosse récompense .	Les entraîneurs du vainqueur vont recevoir une grosse récompense .	Les entraîneurs des vainqueurs vont recevoir une grosse récompense .	Les entraîneurs du vainqueur du match vont recevoir une grosse récompense .	Les entraîneurs des vainqueurs du match vont recevoir une grosse récompense .	Les entraîneurs du vainqueur des matchs vont recevoir une grosse récompense .	Les entraîneurs des vainqueurs des matchs vont recevoir une grosse récompense .	L' entraîneur vont recevoir une grosse récompense .	L' entraîneur du vainqueur vont recevoir une grosse récompense .	L' entraîneur des vainqueurs vont recevoir une grosse récompense .	L' entraîneur du vainqueur du match vont recevoir une grosse récompense .	L' entraîneur des vainqueurs du match vont recevoir une grosse récompense .	L' entraîneur du vainqueur des matchs vont recevoir une grosse récompense .	L' entraîneur des vainqueurs des matchs vont recevoir une grosse récompense .	Les entraîneurs va recevoir une grosse récompense .	Les entraîneurs du vainqueur va recevoir une grosse récompense .	Les entraîneurs des vainqueurs va recevoir une grosse récompense .	Les entraîneurs du vainqueur du match va recevoir une grosse récompense .	Les entraîneurs des vainqueurs du match va recevoir une grosse récompense .	Les entraîneurs du vainqueur des matchs va recevoir une grosse récompense .	Les entraîneurs des vainqueurs des matchs va recevoir une grosse récompense .
31	Le possesseur va venir .	Le possesseur du perroquet va venir .	Le possesseur des perroquets va venir .	Le possesseur du perroquet dans l' arbre va venir .	Le possesseur des perroquets dans l' arbre va venir .	Le possesseur du perroquet dans les arbres va venir .	Le possesseur des perroquets dans les arbres va venir .	Les possesseurs vont venir .	Les possesseurs du perroquet vont venir .	Les possesseurs des perroquets vont venir .	Les possesseurs du perroquet dans l' arbre vont venir .	Les possesseurs des perroquets dans l' arbre vont venir .	Les possesseurs du perroquet dans les arbres vont venir .	Les possesseurs des perroquets dans les arbres vont venir .	Le possesseur vont venir .	Le possesseur du perroquet vont venir .	Le possesseur des perroquets vont venir .	Le possesseur du perroquet dans l' arbre vont venir .	Le possesseur des perroquets dans l' arbre vont venir .	Le possesseur du perroquet dans les arbres vont venir .	Le possesseur des perroquets dans les arbres vont venir .	Les possesseurs va venir .	Les possesseurs du perroquet va venir .	Les possesseurs des perroquets va venir .	Les possesseurs du perroquet dans l' arbre va venir .	Les possesseurs des perroquets dans l' arbre va venir .	Les possesseurs du perroquet dans les arbres va venir .	Les possesseurs des perroquets dans les arbres va venir .
