	np-s vp-s	np-s pp1-s vp-s	np-s pp1-p vp-s	np-s pp1-s pp2-s vp-s	np-s pp1-p pp2-s vp-s	np-s pp1-s pp2-p vp-s	np-s pp1-p pp2-p vp-s	np-p vp-p	np-p pp1-s vp-p	np-p pp1-p vp-p	np-p pp1-s pp2-s vp-p	np-p pp1-p pp2-s vp-p	np-p pp1-s pp2-p vp-p	np-p pp1-p pp2-p vp-p	np-s vp-p	np-s pp1-s vp-p	np-s pp1-p vp-p	np-s pp1-s pp2-s vp-p	np-s pp1-p pp2-s vp-p	np-s pp1-s pp2-p vp-p	np-s pp1-p pp2-p vp-p	np-p vp-s	np-p pp1-s vp-s	np-p pp1-p vp-s	np-p pp1-s pp2-s vp-s	np-p pp1-p pp2-s vp-s	np-p pp1-s pp2-p vp-s	np-p pp1-p pp2-p vp-s
20	L' architetto ha perso l' appalto .	L' architetto del castello ha perso l' appalto .	L' architetto dei castelli ha perso l' appalto .	L' architetto del castello del milionario ha perso l' appalto .	L' architetto dei castelli del milionario ha perso l' appalto .	L' architetto del castello dei milionari ha perso l' appalto .	L' architetto dei castelli dei milionari ha perso l' appalto .	Gli architetti hanno perso l' appalto .	Gli architetti del castello hanno perso l' appalto .	Gli architetti dei castelli hanno perso l' appalto .	Gli architetti del castello del milionario hanno perso l' appalto .	Gli architetti dei castelli del milionario hanno perso l' appalto .	Gli architetti del castello dei milionari hanno perso l' appalto .	Gli architetti dei castelli dei milionari hanno perso l' appalto .	L' architetto hanno perso l' appalto .	L' architetto del castello hanno perso l' appalto .	L' architetto dei castelli hanno perso l' appalto .	L' architetto del castello del milionario hanno perso l' appalto .	L' architetto dei castelli del milionario hanno perso l' appalto .	L' architetto del castello dei milionari hanno perso l' appalto .	L' architetto dei castelli dei milionari hanno perso l' appalto .	Gli architetti ha perso l' appalto .	Gli architetti del castello ha perso l' appalto .	Gli architetti dei castelli ha perso l' appalto .	Gli architetti del castello del milionario ha perso l' appalto .	Gli architetti dei castelli del milionario ha perso l' appalto .	Gli architetti del castello dei milionari ha perso l' appalto .	Gli architetti dei castelli dei milionari ha perso l' appalto .
21	La vittima ha fatto causa .	La vittima della menzogna ha fatto causa .	La vittima delle menzogne ha fatto causa .	La vittima della menzogna del poliziotto ha fatto causa .	La vittima delle menzogne del poliziotto ha fatto causa .	La vittima della menzogna dei poliziotti ha fatto causa .	La vittima delle menzogne dei poliziotti ha fatto causa .	Le vittime hanno fatto causa .	Le vittime della menzogna hanno fatto causa .	Le vittime delle menzogne hanno fatto causa .	Le vittime della menzogna del poliziotto hanno fatto causa .	Le vittime delle menzogne del poliziotto hanno fatto causa .	Le vittime della menzogna dei poliziotti hanno fatto causa .	Le vittime delle menzogne dei poliziotti hanno fatto causa .	La vittima hanno fatto causa .	La vittima della menzogna hanno fatto causa .	La vittima delle menzogne hanno fatto causa .	La vittima della menzogna del poliziotto hanno fatto causa .	La vittima delle menzogne del poliziotto hanno fatto causa .	La vittima della menzogna dei poliziotti hanno fatto causa .	La vittima delle menzogne dei poliziotti hanno fatto causa .	Le vittime ha fatto causa .	Le vittime della menzogna ha fatto causa .	Le vittime delle menzogne ha fatto causa .	Le vittime della menzogna del poliziotto ha fatto causa .	Le vittime delle menzogne del poliziotto ha fatto causa .	Le vittime della menzogna dei poliziotti ha fatto causa .	Le vittime delle menzogne dei poliziotti ha fatto causa .
22	Il ladro ha sterzato bruscamente .	Il ladro della macchina ha sterzato bruscamente .	Il ladro delle macchine ha sterzato bruscamente .	Il ladro della macchina del garagista ha sterzato bruscamente .	Il ladro delle macchine del garagista ha sterzato bruscamente .	Il ladro della macchina dei garagisti ha sterzato bruscamente .	Il ladro delle macchine dei garagisti ha sterzato bruscamente .	I ladri hanno sterzato bruscamente .	I ladri della macchina hanno sterzato bruscamente .	I ladri delle macchine hanno sterzato bruscamente .	I ladri della macchina del garagista hanno sterzato bruscamente .	I ladri delle macchine del garagista hanno sterzato bruscamente .	I ladri della macchina dei garagisti hanno sterzato bruscamente .	I ladri delle macchine dei garagisti hanno sterzato bruscamente .	Il ladro hanno sterzato bruscamente .	Il ladro della macchina hanno sterzato bruscamente .	Il ladro delle macchine hanno sterzato bruscamente .	Il ladro della macchina del garagista hanno sterzato bruscamente .	Il ladro delle macchine del garagista hanno sterzato bruscamente .	Il ladro della macchina dei garagisti hanno sterzato bruscamente .	Il ladro delle macchine dei garagisti hanno sterzato bruscamente .	I ladri ha sterzato bruscamente .	I ladri della macchina ha sterzato bruscamente .	I ladri delle macchine ha sterzato bruscamente .	I ladri della macchina del garagista ha sterzato bruscamente .	I ladri delle macchine del garagista ha sterzato bruscamente .	I ladri della macchina dei garagisti ha sterzato bruscamente .	I ladri delle macchine dei garagisti ha sterzato bruscamente .
23	Il responsabile darà le dimissioni .	Il responsabile del diritto darà le dimissioni .	Il responsabile dei diritti darà le dimissioni .	Il responsabile del diritto dell' immigrato darà le dimissioni .	Il responsabile dei diritti dell' immigrato darà le dimissioni .	Il responsabile del diritto degli immigrati darà le dimissioni .	Il responsabile dei diritti degli immigrati darà le dimissioni .	I responsabili daranno le dimissioni .	I responsabili del diritto daranno le dimissioni .	I responsabili dei diritti daranno le dimissioni .	I responsabili del diritto dell' immigrato daranno le dimissioni .	I responsabili dei diritti dell' immigrato daranno le dimissioni .	I responsabili del diritto degli immigrati daranno le dimissioni .	I responsabili dei diritti degli immigrati daranno le dimissioni .	Il responsabile daranno le dimissioni .	Il responsabile del diritto daranno le dimissioni .	Il responsabile dei diritti daranno le dimissioni .	Il responsabile del diritto dell' immigrato daranno le dimissioni .	Il responsabile dei diritti dell' immigrato daranno le dimissioni .	Il responsabile del diritto degli immigrati daranno le dimissioni .	Il responsabile dei diritti degli immigrati daranno le dimissioni .	I responsabili darà le dimissioni .	I responsabili del diritto darà le dimissioni .	I responsabili dei diritti darà le dimissioni .	I responsabili del diritto dell' immigrato darà le dimissioni .	I responsabili dei diritti dell' immigrato darà le dimissioni .	I responsabili del diritto degli immigrati darà le dimissioni .	I responsabili dei diritti degli immigrati darà le dimissioni .
24	Il bambino piange .	Il bambino del senzatetto piange .	Il bambino dei senzatetto piange .	Il bambino del senzatetto vicino alla spazzatura piange .	Il bambino dei senzatetto vicino alla spazzatura piange .	Il bambino del senzatetto vicino alle spazzature piange .	Il bambino dei senzatetto vicino alle spazzature piange .	I bambini piangono .	I bambini del senzatetto piangono .	I bambini dei senzatetto piangono .	I bambini del senzatetto vicino alla spazzatura piangono .	I bambini dei senzatetto vicino alla spazzatura piangono .	I bambini del senzatetto vicino alle spazzature piangono .	I bambini dei senzatetto vicino alle spazzature piangono .	Il bambino piangono .	Il bambino del senzatetto piangono .	Il bambino dei senzatetto piangono .	Il bambino del senzatetto vicino alla spazzatura piangono .	Il bambino dei senzatetto vicino alla spazzatura piangono .	Il bambino del senzatetto vicino alle spazzature piangono .	Il bambino dei senzatetto vicino alle spazzature piangono .	I bambini piange .	I bambini del senzatetto piange .	I bambini dei senzatetto piange .	I bambini del senzatetto vicino alla spazzatura piange .	I bambini dei senzatetto vicino alla spazzatura piange .	I bambini del senzatetto vicino alle spazzature piange .	I bambini dei senzatetto vicino alle spazzature piange .
25	L' avvocato ritornerà .	L' avvocato dell' assassino ritornerà .	L' avvocato degli assassini ritornerà .	L' avvocato dell' assassino del villaggio ritornerà .	L' avvocato degli assassini del villaggio ritornerà .	L' avvocato dell' assassino dei villaggi ritornerà .	L' avvocato degli assassini dei villaggi ritornerà .	Gli avvocati ritorneranno .	Gli avvocati dell' assassino ritorneranno .	Gli avvocati degli assassini ritorneranno .	Gli avvocati dell' assassino del villaggio ritorneranno .	Gli avvocati degli assassini del villaggio ritorneranno .	Gli avvocati dell' assassino dei villaggi ritorneranno .	Gli avvocati degli assassini dei villaggi ritorneranno .	L' avvocato ritorneranno .	L' avvocato dell' assassino ritorneranno .	L' avvocato degli assassini ritorneranno .	L' avvocato dell' assassino del villaggio ritorneranno .	L' avvocato degli assassini del villaggio ritorneranno .	L' avvocato dell' assassino dei villaggi ritorneranno .	L' avvocato degli assassini dei villaggi ritorneranno .	Gli avvocati ritornerà .	Gli avvocati dell' assassino ritornerà .	Gli avvocati degli assassini ritornerà .	Gli avvocati dell' assassino del villaggio ritornerà .	Gli avvocati degli assassini del villaggio ritornerà .	Gli avvocati dell' assassino dei villaggi ritornerà .	Gli avvocati degli assassini dei villaggi ritornerà .
26	Il maiale sguazza nel mare .	Il maiale del bracciante sguazza nel mare .	Il maiale dei braccianti sguazza nel mare .	Il maiale del bracciante del campo sguazza nel mare .	Il maiale dei braccianti del campo sguazza nel mare .	Il maiale del bracciante dei campi sguazza nel mare .	Il maiale dei braccianti dei campi sguazza nel mare .	I maiali sguazzano nel mare .	I maiali del bracciante sguazzano nel mare .	I maiali dei braccianti sguazzano nel mare .	I maiali del bracciante del campo sguazzano nel mare .	I maiali dei braccianti del campo sguazzano nel mare .	I maiali del bracciante dei campi sguazzano nel mare .	I maiali dei braccianti dei campi sguazzano nel mare .	Il maiale sguazzano nel mare .	Il maiale del bracciante sguazzano nel mare .	Il maiale dei braccianti sguazzano nel mare .	Il maiale del bracciante del campo sguazzano nel mare .	Il maiale dei braccianti del campo sguazzano nel mare .	Il maiale del bracciante dei campi sguazzano nel mare .	Il maiale dei braccianti dei campi sguazzano nel mare .	I maiali sguazza nel mare .	I maiali del bracciante sguazza nel mare .	I maiali dei braccianti sguazza nel mare .	I maiali del bracciante del campo sguazza nel mare .	I maiali dei braccianti del campo sguazza nel mare .	I maiali del bracciante dei campi sguazza nel mare .	I maiali dei braccianti dei campi sguazza nel mare .
27	La compagna dormiva sulla spiaggia .	La compagna del proprietario dormiva sulla spiaggia .	La compagna dei proprietari dormiva sulla spiaggia .	La compagna del proprietario della villa dormiva sulla spiaggia .	La compagna dei proprietari della villa dormiva sulla spiaggia .	La compagna del proprietario delle ville dormiva sulla spiaggia .	La compagna dei proprietari delle ville dormiva sulla spiaggia .	Le compagne dormivano sulla spiaggia .	Le compagne del proprietario dormivano sulla spiaggia .	Le compagne dei proprietari dormivano sulla spiaggia .	Le compagne del proprietario della villa dormivano sulla spiaggia .	Le compagne dei proprietari della villa dormivano sulla spiaggia .	Le compagne del proprietario delle ville dormivano sulla spiaggia .	Le compagne dei proprietari delle ville dormivano sulla spiaggia .	La compagna dormivano sulla spiaggia .	La compagna del proprietario dormivano sulla spiaggia .	La compagna dei proprietari dormivano sulla spiaggia .	La compagna del proprietario della villa dormivano sulla spiaggia .	La compagna dei proprietari della villa dormivano sulla spiaggia .	La compagna del proprietario delle ville dormivano sulla spiaggia .	La compagna dei proprietari delle ville dormivano sulla spiaggia .	Le compagne dormiva sulla spiaggia .	Le compagne del proprietario dormiva sulla spiaggia .	Le compagne dei proprietari dormiva sulla spiaggia .	Le compagne del proprietario della villa dormiva sulla spiaggia .	Le compagne dei proprietari della villa dormiva sulla spiaggia .	Le compagne del proprietario delle ville dormiva sulla spiaggia .	Le compagne dei proprietari delle ville dormiva sulla spiaggia .
28	L' accompagnatrice suonava in modo meraviglioso .	L' accompagnatrice del musicista suonava in modo meraviglioso .	L' accompagnatrice dei musicisti suonava in modo meraviglioso .	L' accompagnatrice del musicista in strada suonava in modo meraviglioso .	L' accompagnatrice dei musicisti in strada suonava in modo meraviglioso .	L' accompagnatrice del musicista nelle strade suonava in modo meraviglioso .	L' accompagnatrice dei musicisti nelle strade suonava in modo meraviglioso .	Le accompagnatrici suonavano in modo meraviglioso .	Le accompagnatrici del musicista suonavano in modo meraviglioso .	Le accompagnatrici dei musicisti suonavano in modo meraviglioso .	Le accompagnatrici del musicista in strada suonavano in modo meraviglioso .	Le accompagnatrici dei musicisti in strada suonavano in modo meraviglioso .	Le accompagnatrici del musicista nelle strade suonavano in modo meraviglioso .	Le accompagnatrici dei musicisti nelle strade suonavano in modo meraviglioso .	L' accompagnatrice suonavano in modo meraviglioso .	L' accompagnatrice del musicista suonavano in modo meraviglioso .	L' accompagnatrice dei musicisti suonavano in modo meraviglioso .	L' accompagnatrice del musicista in strada suonavano in modo meraviglioso .	L' accompagnatrice dei musicisti in strada suonavano in modo meraviglioso .	L' accompagnatrice del musicista nelle strade suonavano in modo meraviglioso .	L' accompagnatrice dei musicisti nelle strade suonavano in modo meraviglioso .	Le accompagnatrici suonava in modo meraviglioso .	Le accompagnatrici del musicista suonava in modo meraviglioso .	Le accompagnatrici dei musicisti suonava in modo meraviglioso .	Le accompagnatrici del musicista in strada suonava in modo meraviglioso .	Le accompagnatrici dei musicisti in strada suonava in modo meraviglioso .	Le accompagnatrici del musicista nelle strade suonava in modo meraviglioso .	Le accompagnatrici dei musicisti nelle strade suonava in modo meraviglioso .
29	Il professore assomiglia a una star .	Il professore di mio cugino assomiglia a una star .	Il professore dei miei cugini assomiglia a una star .	Il professore di mio cugino nella foto assomiglia a una star .	Il professore dei miei cugini nella foto assomiglia a una star .	Il professore di mio cugino nelle foto assomiglia a una star .	Il professore dei miei cugini nelle foto assomiglia a una star .	I professori assomigliano a delle star .	I professori di mio cugino assomigliano a delle star .	I professori dei miei cugini assomigliano a delle star .	I professori di mio cugino nella foto assomigliano a delle star .	I professori dei miei cugini nella foto assomigliano a delle star .	I professori di mio cugino nelle foto assomigliano a delle star .	I professori dei miei cugini nelle foto assomigliano a delle star .	Il professore assomigliano a delle star .	Il professore di mio cugino assomigliano a delle star .	Il professore dei miei cugini assomigliano a delle star .	Il professore di mio cugino nella foto assomigliano a delle star .	Il professore dei miei cugini nella foto assomigliano a delle star .	Il professore di mio cugino nelle foto assomigliano a delle star .	Il professore dei miei cugini nelle foto assomigliano a delle star .	I professori assomiglia a una star .	I professori di mio cugino assomiglia a una star .	I professori dei miei cugini assomiglia a una star .	I professori di mio cugino nella foto assomiglia a una star .	I professori dei miei cugini nella foto assomiglia a una star .	I professori di mio cugino nelle foto assomiglia a una star .	I professori dei miei cugini nelle foto assomiglia a una star .
30	L' allenatore ricevette una grossa ricompensa .	L' allenatore del vincitore ricevette una grossa ricompensa .	L' allenatore dei vincitori ricevette una grossa ricompensa .	L' allenatore del vincitore della partita ricevette una grossa ricompensa .	L' allenatore dei vincitori della partita ricevette una grossa ricompensa .	L' allenatore del vincitore delle partite ricevette una grossa ricompensa .	L' allenatore dei vincitori delle partite ricevette una grossa ricompensa .	Gli allenatori ricevettero una grossa ricompensa .	Gli allenatori del vincitore ricevettero una grossa ricompensa .	Gli allenatori dei vincitori ricevettero una grossa ricompensa .	Gli allenatori del vincitore della partita ricevettero una grossa ricompensa .	Gli allenatori dei vincitori della partita ricevettero una grossa ricompensa .	Gli allenatori del vincitore delle partite ricevettero una grossa ricompensa .	Gli allenatori dei vincitori delle partite ricevettero una grossa ricompensa .	L' allenatore ricevettero una grossa ricompensa .	L' allenatore del vincitore ricevettero una grossa ricompensa .	L' allenatore dei vincitori ricevettero una grossa ricompensa .	L' allenatore del vincitore della partita ricevettero una grossa ricompensa .	L' allenatore dei vincitori della partita ricevettero una grossa ricompensa .	L' allenatore del vincitore delle partite ricevettero una grossa ricompensa .	L' allenatore dei vincitori delle partite ricevettero una grossa ricompensa .	Gli allenatori ricevette una grossa ricompensa .	Gli allenatori del vincitore ricevette una grossa ricompensa .	Gli allenatori dei vincitori ricevette una grossa ricompensa .	Gli allenatori del vincitore della partita ricevette una grossa ricompensa .	Gli allenatori dei vincitori della partita ricevette una grossa ricompensa .	Gli allenatori del vincitore delle partite ricevette una grossa ricompensa .	Gli allenatori dei vincitori delle partite ricevette una grossa ricompensa .
31	Il padrone arriverà .	Il padrone del pappagallo arriverà .	Il padrone dei pappagalli arriverà .	Il padrone del pappagallo sull' albero arriverà .	Il padrone dei pappagalli sull' albero arriverà .	Il padrone del pappagallo sugli alberi arriverà .	Il padrone dei pappagalli sugli alberi arriverà .	I padroni arriveranno .	I padroni del pappagallo arriveranno .	I padroni dei pappagalli arriveranno .	I padroni del pappagallo sull' albero arriveranno .	I padroni dei pappagalli sull' albero arriveranno .	I padroni del pappagallo sugli alberi arriveranno .	I padroni dei pappagalli sugli alberi arriveranno .	Il padrone arriveranno .	Il padrone del pappagallo arriveranno .	Il padrone dei pappagalli arriveranno .	Il padrone del pappagallo sull' albero arriveranno .	Il padrone dei pappagalli sull' albero arriveranno .	Il padrone del pappagallo sugli alberi arriveranno .	Il padrone dei pappagalli sugli alberi arriveranno .	I padroni arriverà .	I padroni del pappagallo arriverà .	I padroni dei pappagalli arriverà .	I padroni del pappagallo sull' albero arriverà .	I padroni dei pappagalli sull' albero arriverà .	I padroni del pappagallo sugli alberi arriverà .	I padroni dei pappagalli sugli alberi arriverà .
